,White,Black,AIAN,Asian,NHPI,Two or More Races,Hispanic
2000,195701760,34405800,2101969,10468759,370224,3452022,35661884
2001,195974816,34780280,2119929,10925853,383282,3640702,37144096
2002,196140544,35130060,2136918,11372498,396089,3831467,38617620
2003,196232768,35438252,2152127,11801041,408032,4026293,40049428
2004,196461760,35797600,2169359,12219990,421181,4234033,41501376
2005,196620976,36147348,2186123,12657844,434180,4446507,43023616
2006,196832704,36520960,2203091,13097737,447629,4671492,44606304
2007,197011392,36905760,2220301,13526680,460973,4909248,46196852
2008,197183536,37290708,2237304,13955911,474526,5158196,47793784
2009,197274544,37656592,2252408,14361474,487588,5411429,49327488
2010,242235328,40355384,3752274,15261408,678046,7039225,50742884
2011,243292144,40783548,3801451,15721072,692216,7266443,51857244
2012,244354784,41225340,3853222,16195092,706660,7495899,52926700
2013,245308896,41651864,3902766,16679752,721575,7728870,53990336
2014,246350640,42090120,3953354,17203568,735273,7968051,55088192
2015,247382688,42532492,4004358,17752744,750159,8212721,56254744
2016,248413056,42970184,4054740,18279948,765814,8457567,57450888
2017,249270768,43374144,4101605,18764236,780316,8694466,58573528
2018,249961024,43732024,4145811,19134104,793787,8920749,59639868
2019,250522192,44075088,4188092,19504862,806937,9142356,60572236
