<Race and Ethnicity>,Hispanic or Latino,Hispanic or Latino,"American Indian or Alaska Native, Not Hispanic or Latino","American Indian or Alaska Native, Not Hispanic or Latino","Asian, Not Hispanic or Latino","Asian, Not Hispanic or Latino","Black or African American, Not Hispanic or Latino","Black or African American, Not Hispanic or Latino","White, Not Hispanic or Latino","White, Not Hispanic or Latino","White, Not Hispanic or Latino","More than one race, Not Hispanic or Latino","More than one race, Not Hispanic or Latino","Other race or race not reported, Not Hispanic or Latino","Other race or race not reported, Not Hispanic or Latino",Ethnicity not reported,Ethnicity not reported,Ethnicity not reported
<Sex>,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Unknown sex,Male,Female,Male,Female,Male,Female,Unknown sex
Year,,,,,,,,,,,,,,,,,,
2019,26,26,2,2,18,13,5,10,360,296,,10,21,5,4,35,10,1
2018,24,26,1,2,23,19,9,2,310,309,,12,15,3,1,22,15,
2017,26,30,,2,20,26,9,5,343,286,,11,10,9,5,22,33,
2016,23,19,3,1,25,24,4,6,373,289,,5,15,1,1,29,18,1
2015,20,23,1,1,13,11,8,5,327,262,,7,9,2,,36,25,
2014,21,17,,1,7,16,11,6,308,296,,12,11,5,1,46,13,1
2013,17,19,3,,9,13,8,2,280,270,,12,4,2,2,33,24,1
2012,13,18,4,,19,15,11,7,285,229,,5,6,3,,25,20,
2011,11,12,1,,19,14,5,3,280,191,,3,3,4,2,41,17,
2010,15,11,,,7,12,7,4,274,209,,5,6,1,1,39,20,
2009,15,10,1,,5,15,4,4,282,184,,5,3,4,1,29,20,
2008,8,10,1,1,10,15,6,3,284,182,,3,1,3,1,25,18,1
2007,8,13,,,4,7,8,1,284,203,,2,8,6,2,29,17,
2006,10,11,1,,11,13,3,2,253,147,,4,1,5,,37,14,1
2005,10,8,1,3,9,9,5,1,246,138,,2,2,6,2,25,13,
2004,7,5,4,,7,4,5,1,225,149,,1,6,6,6,28,7,
2003,8,6,1,1,14,8,6,7,254,123,,4,4,4,4,30,7,
2002,12,2,,,14,10,5,,237,139,,2,5,2,4,25,9,
2001,4,5,,,20,7,2,2,230,122,,6,2,4,,23,13,1
2000,13,3,3,1,15,9,3,1,287,125,,2,1,2,4,35,4,3
1999,16,4,3,3,25,10,7,4,277,111,,,,3,3,25,9,3
1998,11,6,2,1,32,13,4,1,310,133,,,1,7,1,33,6,3
1997,11,5,2,1,45,18,5,1,331,118,1,,1,8,3,27,10,3
1996,14,6,1,,59,12,1,1,316,101,,,,3,1,16,4,6
1995,7,3,,,73,26,1,,331,93,,,,2,,14,4,2
1994,6,2,1,,73,17,5,1,369,107,,,,3,,9,1,7
1993,9,2,3,,15,7,3,1,319,100,,,,3,,18,5,8
1992,9,4,1,,18,7,6,1,342,124,,,,3,,12,4,6
1991,13,2,2,1,10,4,2,1,410,136,,,,1,1,21,7,3
1990,9,4,,,14,1,1,2,370,105,,,,3,1,33,6,
1989,6,3,4,2,17,4,2,,361,96,,1,,2,,46,13,
1988,2,4,1,1,10,3,2,,362,95,,1,,2,1,41,14,
1987,4,1,,,15,3,,1,306,80,,,,3,,52,10,
1986,4,1,,1,13,,1,,311,74,,,,1,,41,4,
1985,4,,1,,18,1,3,,319,82,,,1,1,,25,8,
1984,2,,,,15,2,2,1,343,83,,,,,1,18,2,
1983,9,,2,,18,6,1,,353,66,,,,1,,26,8,
1982,5,1,,,21,6,3,,392,76,,,,,,19,4,
1981,6,,,,11,2,2,,369,38,,,,,,23,,
1980,3,1,2,,15,4,1,,404,48,,2,,,,30,1,
